issn,titulo,url
0103-2186,ESTUDOS HISTORICOS (RIO DE JANEIRO),http://bibliotecadigital.fgv.br/ojs/index.php/reh/oai/
1982-5935,TRAVESSIAS (UNIOESTE. ONLINE),http://e-revista.unioeste.br/index.php/travessias/oai/
2318-0765,REVISTA TRILHA DIGITAL,http://editorarevistas.mackenzie.br/index.php/TDig/oai/
2172-5672,REVISTA TRAMA INTERDISCIPLINAR,http://editorarevistas.mackenzie.br/index.php/tint/oai/
